name,status,activity,merit,time,title,context
Maksim7777,Newbie,196,0,'January 07, 2018, 04:00:50 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain  Upto $180,000 Reward','Quote from: Maksim7777 on January 02, 2018, 02:05:44 PMHeдeля № 1 (31 дeкaбpя - 6 янвapя )Twitter : https://twitter.com/natalimar777Retweets 1. https://twitter.com/matrixainetwork/status/9478452931097804802. https://twitter.com/matrixainetwork/status/9485368047176376373. https://twitter.com/matrixainetwork/status/9471127061500887044. https://twitter.com/matrixainetwork/status/9474544115167354885. https://twitter.com/matrixainetwork/status/947503792769048576Tвиты 1.https://twitter.com/natalimar777/status/948193326758494209Heдeля № 1 (31 дeкaбpя - 6 янвapя )Facebook: https://www.facebook.com/profile.php?id=100012529152535Shares+ Hpaвитcя 1. https://www.facebook.com/permalink.php?story_fbid=376506692776966&id=1000125291525352. https://www.facebook.com/permalink.php?story_fbid=376959229398379&id=1000125291525353. https://www.facebook.com/permalink.php?story_fbid=377297492697886&id=1000125291525354. https://www.facebook.com/permalink.php?story_fbid=377297369364565&id=1000125291525355.https://www.facebook.com/permalink.php?story_fbid=377297142697921&id=100012529152535Heдeля № 2Twitter : https://twitter.com/natalimar777Retweets 1.https://twitter.com/matrixainetwork/status/9496300630408724482.https://twitter.com/matrixainetwork/status/9498896481840783363.4.5.Tвиты:1.https://twitter.com/natalimar777/status/950035828092428288Heдeля № 2Facebook: https://www.facebook.com/profile.php?id=100012529152535Shares+ Hpaвитcя 1.https://www.facebook.com/permalink.php?story_fbid=378308345930134&id=1000125291525352.https://www.facebook.com/permalink.php?story_fbid=378308309263471&id=1000125291525353.4.5.'
Saoha,Full Member,560,100,'January 14, 2018, 08:33:06 AM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Quote from: Saoha on January 02, 2018, 02:45:43 PMWeek 1: 31 Dec - 6 JanFacebook campaignFacebook url: https://m.facebook.com/sao.bang.5688?fref=nf&ref=bookmarksLike and shares: 1. (2/1): https://m.facebook.com/story.php?story_fbid=417327765389663&id=100013373281023&ref=bookmarks2. (3/1): https://m.facebook.com/story.php?story_fbid=417516042037502&id=100013373281023&ref=bookmarks3. (3/1): https://m.facebook.com/story.php?story_fbid=417515695370870&id=100013373281023&ref=bookmarks4. (4/1): https://m.facebook.com/story.php?story_fbid=418180695304370&id=100013373281023&ref=bookmarks5. (5/1): https://m.facebook.com/story.php?story_fbid=418479275274512&id=100013373281023&ref=bookmarksTwitter campaignTwitter url: https://mobile.twitter.com/dangsaoha2Tweet: 1. (2/1): https://mobile.twitter.com/dangsaoha2/status/948200432030986240Retweet: 1. (2/1): https://mobile.twitter.com/matrixainetwork/status/9471127061500887042. (3/1): https://mobile.twitter.com/matrixainetwork/status/9475037927690485763. (3/1): https://mobile.twitter.com/matrixainetwork/status/9474544115167354884. (4/1): https://mobile.twitter.com/matrixainetwork/status/9484702641148313615. (5/1): https://mobile.twitter.com/matrixainetwork/status/948536804717637637WEEK 2: 7- 13 JanFacebook campain: Facebook url: https://m.facebook.com/sao.bang.5688?fref=nf&ref=bookmarksLike and shares: 1. (7/1): https://m.facebook.com/story.php?story_fbid=419465825175857&id=100013373281023&ref=bookmarks2. (8/1): https://m.facebook.com/story.php?story_fbid=419820978473675&id=100013373281023&ref=bookmarks3. (9/1): https://m.facebook.com/story.php?story_fbid=420176368438136&id=100013373281023&ref=bookmarks4. (10/1): https://m.facebook.com/story.php?story_fbid=420599665062473&id=100013373281023&ref=bookmarks5. (11/1): https://m.facebook.com/story.php?story_fbid=421128301676276&id=100013373281023&ref=bookmarksTwitter campain: Twitter url: https://mobile.twitter.com/dangsaoha2Retweets: 1. (7/1): https://mobile.twitter.com/matrixainetwork/status/9495200704257597452. (8/1): https://mobile.twitter.com/matrixainetwork/status/9496300630408724483. (9/1): https://mobile.twitter.com/matrixainetwork/status/9504003094063185924. (10/1): https://mobile.twitter.com/matrixainetwork/status/9507427651549143055. (11/1): https://mobile.twitter.com/matrixainetwork/status/950752066506432512Tweets: 1. (7/1): https://mobile.twitter.com/dangsaoha2/status/950034391530577920'
bastian466,Sr. Member,574,250,'January 07, 2018, 04:24:59 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week 1 Twitter url:https://mobile.twitter.com/yusupbastian46Retweet:https://twitter.com/matrixainetwork/status/938695561737207809<br>https://twitter.com/matrixainetwork/status/939183020182925312<br>https://twitter.com/matrixainetwork/status/938768587489185792<br>https://twitter.com/matrixainetwork/status/938706107194675201<br>https://twitter.com/matrixainetwork/status/940047864108953600<br>Tweet:https://twitter.com/yusupbastian46/status/950028845683392512'
bastian466,Sr. Member,574,250,'January 07, 2018, 04:27:03 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week 1Facebook url:https://m.facebook.com/profile.php?id=100000141059094Like and share:https://m.facebook.com/story.php?story_fbid=205208326716781&amp;id=198243307413283<br>https://m.facebook.com/story.php?story_fbid=204141163490164&amp;id=198243307413283<br>https://m.facebook.com/story.php?story_fbid=201459643758316&amp;substory_index=0&amp;id=198243307413283<br>https://m.facebook.com/story.php?story_fbid=204434586794155&amp;id=198243307413283<br>https://m.facebook.com/story.php?story_fbid=204441476793466&amp;id=198243307413283<br>https://m.facebook.com/story.php?story_fbid=205339463370334&amp;id=198243307413283'
nhoj25,Member,322,10,'January 11, 2018, 07:46:42 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week #2 [7- 13 Jan]TwitterRetweets1. https://twitter.com/matrixainetwork/status/9496300630408724482. https://twitter.com/matrixainetwork/status/9498896481840783363. https://twitter.com/john_leo25/status/9507533971954237444. https://twitter.com/john_leo25/status/9515360672109854725. https://twitter.com/john_leo25/status/951536039209791488Tweets1. https://twitter.com/john_leo25/status/951540745860558848FacebookShares + Likes1. https://web.facebook.com/leonileah/posts/17514673148657182. https://www.facebook.com/leonileah/posts/17534778913313273. https://web.facebook.com/leonileah/posts/17556372444487254. https://web.facebook.com/leonileah/posts/17545923745532125. https://web.facebook.com/groups/186090598455553/permalink/453373001727310/6. '
kchulani,Full Member,308,100,'January 07, 2018, 04:48:52 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Quote from: kchulani on January 06, 2018, 01:22:50 AMWeek #2Twitter username: @ethereal_aiTwitter url: https://twitter.com/ethereal_aiFollowers: 606Retweets1. https://twitter.com/ethereal_ai/status/9494488807306321982. https://twitter.com/ethereal_ai/status/9500454290932899843.4.5.Tweets1. https://twitter.com/ethereal_ai/status/9494487236833320972. https://twitter.com/ethereal_ai/status/950045612749279233Week #2Facebook url: https://www.facebook.com/hydronian888Followers: 441Shares + Likes1. https://www.facebook.com/hydronian888/posts/10214213091425483?pnref=story2. https://www.facebook.com/hydronian888/posts/10214226913491026?pnref=story3.4.5.Post.1. https://www.facebook.com/hydronian888/posts/102142130957055902. https://www.facebook.com/hydronian888/posts/10214226908730907Thank you for this opportunity!!! Happy New Year!!! '
kitkitkit,Newbie,62,0,'January 11, 2018, 08:18:29 AM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week #2 [7- 13 Jan]FacebookShares + Likes1. https://web.facebook.com/keitmichael.quinto/posts/20520966317325552. https://web.facebook.com/keitmichael.quinto/posts/20532185849536933. https://m.facebook.com/story.php?story_fbid=2053920241550194&id=1000079671394364. https://m.facebook.com/story.php?story_fbid=2053929634882588&id=1000079671394365. https://m.facebook.com/story.php?story_fbid=2053931778215707&id=100007967139436'
Mamun74,Full Member,406,100,'January 09, 2018, 09:11:33 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week #2(06-12)TwitterRetweets1. https://twitter.com/matrixainetwork/status/9496300630408724482. https://twitter.com/matrixainetwork/status/9498896481840783363. https://twitter.com/matrixainetwork/status/9504003094063185924. https://twitter.com/matrixainetwork/status/9507427651549143055. https://twitter.com/matrixainetwork/status/950752066506432512Tweets1. https://twitter.com/BTCMaster1/status/950836974344024064Week #2(06-12)FacebookShares + Likes1. https://m.facebook.com/story.php?story_fbid=2017409301862802&id=1000078125549442. https://m.facebook.com/story.php?story_fbid=2017409255196140&id=1000078125549443. https://m.facebook.com/story.php?story_fbid=2017409145196151&id=1000078125549444. https://m.facebook.com/story.php?story_fbid=2017971905139875&id=1000078125549445. https://m.facebook.com/story.php?story_fbid=2017971855139880&id=100007812554944'
fanibsn,Member,293,10,'January 07, 2018, 05:21:49 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week #2 (7 - 13 JanlFacebook : https://m.facebook.com/fani.basarnasShares + Likes1. https://m.facebook.com/story.php?story_fbid=10212826591917249&id=11622355502. https://m.facebook.com/story.php?story_fbid=10212826590717219&id=11622355503. https://m.facebook.com/story.php?story_fbid=10212826590157205&id=11622355504. https://m.facebook.com/story.php?story_fbid=10212826589797196&id=11622355505. https://m.facebook.com/story.php?story_fbid=10212826587437137&id=1162235550'
IvanK,Full Member,420,100,'January 08, 2018, 01:55:51 PM','Re: [BOUNTY][ICO] Matrix.space - The Intelligent Blockchain 🚀 Upto $180,000 Reward','Week #2 (06/01-12/01)TwitterTwitter Link: https://twitter.com/K_Ivan_KRetweets1. https://twitter.com/matrixainetwork/status/9492977054523187202. https://twitter.com/matrixainetwork/status/9495200704257597453. https://twitter.com/matrixainetwork/status/9496159665094574094. https://twitter.com/matrixainetwork/status/9496300630408724485. https://twitter.com/matrixainetwork/status/949889648184078336Tweets1. https://twitter.com/K_Ivan_K/status/950057787157041152FacebookFacebook Link: https://www.facebook.com/profile.php?id=100020672080991Shares + Likes1. https://www.facebook.com/permalink.php?story_fbid=142307419801660&id=1000206720809912. https://www.facebook.com/permalink.php?story_fbid=142307446468324&id=1000206720809913. https://www.facebook.com/permalink.php?story_fbid=142307553134980&id=1000206720809914. https://www.facebook.com/permalink.php?story_fbid=142472703118465&id=1000206720809915. https://www.facebook.com/permalink.php?story_fbid=142472646451804&id=100020672080991'
